safegraph_place_id,location_name,region,postal_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,distance_from_home,national 
sg:2bb1c1290b6b494e82be0098b30ad724,Hawai'i Volcanoes National Park,HI,96718,2018-10-01T00:00:00-10:00,2018-11-01T00:00:00-10:00,1,1,1.50E+11,{},{},,1
sg:35af1521d33040d2a63d80e2abed2b48,Experience Olympic,WA,98362,2018-10-01T00:00:00-07:00,2018-11-01T00:00:00-07:00,24,13,5.30E+11,"{""530090013003"":4}","{""490351145003"":4,""530090009001"":4,""530090007002"":4,""530090008003"":4}",3777,1
sg:ae3763d376d94a5ea5fd186b45bc0ff9,Rocky Mountain National Park,CO,80517,2018-10-01T00:00:00-06:00,2018-11-01T00:00:00-06:00,356,297,80690028013,"{""080140312001"":10,""080140304001"":5,""080140309001"":5,""420110109032"":5,""080690028023"":4,""290470222003"":4,""080459516001"":4,""470370184091"":4,""325100009001"":4,""290950141055"":4,""080690017092"":4,""080130135082"":4,""510131014041"":4,""200150202032"":4,""310790005002"":4,""240317010011"":4,""080770013011"":4,""081230016003"":4,""080010085401"":4,""311119602002"":4,""080050857002"":4,""080690028013"":4,""484530018571"":4,""060730071001"":4,""483396920021"":4,""484391104011"":4,""261635634004"":4,""080010085411"":4,""081230008001"":4,""080310001021"":4,""170318036111"":4,""080590105032"":4,""482659603023"":4,""201339518003"":4,""080310036011"":4,""261614660001"":4,""080590098341"":4,""080010085351"":4,""120990019173"":4,""060871207002"":4,""481576734001"":4,""484391136121"":4,""080010093042"":4,""080010096032"":4,""080350141313"":4,""080590120471"":4,""271390811004"":4,""310550074681"":4,""080690027002"":4,""310199690004"":4,""330099614003"":4,""080130613001"":4,""290770029001"":4,""080690018072"":4,""270131714003"":4,""080930003001"":4,""080310027011"":4,""181570109011"":4,""080010088022"":4,""484530017651"":4,""511539004043"":4,""080690018061"":4,""080690028022"":4,""080690018093"":4,""080050065022"":4,""310550075092"":4,""080690028011"":4,""080690013051"":4,""171430041013"":4,""482450004004"":4}","{""080690028011"":8,""080690028013"":6,""080010085262"":5,""420110109032"":5,""290770009003"":5,""080590098284"":4,""181019501003"":4,""080130613001"":4,""080690028012"":4,""480291207021"":4,""080310068042"":4,""420512625002"":4,""481576734001"":4,""080350142041"":4,""080690020051"":4,""080050824001"":4,""484230018023"":4,""482570505001"":4,""080590120231"":4,""010730027003"":4,""080130133071"":4,""110010024002"":4,""060670002003"":4,""180816104032"":4,""271390803021"":4,""080770013011"":4,""311530104012"":4,""080690018072"":4,""201359561002"":4,""080140301001"":4,""080050859001"":4,""181570109021"":4,""080140309001"":4,""081170004014"":4,""170318036111"":4,""484391012011"":4,""290950182001"":4,""481210214031"":4,""080690028024"":4,""270370608213"":4,""081230016003"":4,""080690019033"":4,""481210215151"":4,""080310027011"":4,""080010093042"":4,""080350141313"":4,""484690003022"":4,""080410072011"":4,""080010085422"":4,""311090015001"":4,""080350139084"":4,""040138103003"":4,""080050065022"":4,""201339518003"":4,""401430076391"":4,""550790149001"":4,""080140312001"":4,""080050065011"":4,""261614660001"":4,""080050800001"":4}",749055,1
sg:48f09f62ad5e4aada7cc7ef380b6a18a,Yellowstone Park,WI,54771,2018-10-01T00:00:00-05:00,2018-11-01T00:00:00-05:00,56,13,5.50E+11,"{""550170109004"":4}","{""550199503004"":4}",2909,1
sg:f74aced14847493eb71d543207d86192,Friends of Great Smoky Mountains National Park,TN,37764,2018-10-01T00:00:00-04:00,2018-11-01T00:00:00-04:00,116,85,4.72E+11,"{""212359203003"":4,""212319201004"":4,""471550808022"":4,""131210010021"":4,""470890707004"":4,""311090036081"":4,""060670087051"":4,""171179567001"":4,""471550801021"":4,""470930049002"":4,""470890705001"":4,""470930053012"":4,""090093432001"":4,""471439754011"":4,""470930065021"":4,""510853209003"":4,""470890703004"":4,""211599502006"":4,""511650104002"":4,""180430708012"":4}","{""471550801022"":6,""471439754011"":4,""132231203023"":4,""471650212052"":4,""010770116042"":4,""471550807003"":4,""511650104002"":4,""470930061041"":4,""311090036081"":4,""180430708012"":4,""470890705001"":4,""471550801021"":4,""470930049002"":4,""260490117121"":4,""471550805003"":4,""471550810002"":4,""401091067052"":4,""261158330001"":4}",229276,1
sg:acbeed2c270445179089c2a6c71d4c3e,Guadalupe Mountains National Park,TX,79847,2018-10-01T00:00:00-05:00,2018-11-01T00:00:00-05:00,78,71,4.81E+11,"{""401470013001"":4,""400310022003"":4,""480913105022"":4,""060590626493"":4,""484391115302"":4,""350050010012"":4,""550250102001"":4,""482511311001"":4,""200599545001"":4,""480990106032"":4,""360811141001"":4,""350519622001"":4}","{""550250102001"":4,""171978809011"":4,""483810217043"":4,""482319616003"":4,""480990105041"":4,""060816080231"":4,""040030004001"":4,""131350506082"":4,""485019502001"":4,""480291714011"":4,""400310022003"":4,""483290003025"":4,""481410105022"":4,""401091086021"":4}",692869,1
sg:722629f32b574f78abf6b8065bef5314,Sequoia Park,CA,95337,2018-10-01T00:00:00-07:00,2018-11-01T00:00:00-07:00,418,127,60770051332,"{""060770051332"":13,""060770051322"":8,""060990004042"":7,""060770051323"":6,""060770051352"":4,""060990005101"":4,""060990035003"":4,""060770051105"":4,""060770051312"":4,""060990011004"":4,""060990005103"":4,""060770013002"":4,""060770051334"":4,""060770050011"":4,""060990004041"":4,""060770051321"":4,""060770051083"":4}","{""060770051332"":13,""060770051322"":9,""060770051323"":4,""060770051192"":4,""060770051141"":4,""060770051333"":4,""060990005103"":4,""060770051331"":4,""060770051334"":4,""060770051352"":4,""060133362011"":4,""060990005101"":4,""060770051221"":4,""060770051321"":4,""060670079031"":4}",3098,1
sg:1fe8d44ad47149618c97069051b154ba,Zion National Park,UT,84767,2018-10-01T00:00:00-06:00,2018-11-01T00:00:00-06:00,576,508,4.91E+11,"{""361031699012"":7,""490490001051"":7,""450910617072"":6,""490111263061"":6,""490532701001"":6,""421239702003"":6,""060710087062"":6,""390410111022"":5,""061090032004"":4,""132190303001"":4,""181559658003"":4,""320030058071"":4,""060375545192"":4,""060590877044"":4,""060710011031"":4,""060372114101"":4,""060371061131"":4,""490532715002"":4,""061010505031"":4,""060952522014"":4,""060376025091"":4,""121010316052"":4,""401091025001"":4,""490532708021"":4,""484910205103"":4,""170999634002"":4,""060650418032"":4,""551170106011"":4,""471190102012"":4,""060372933021"":4,""250010120011"":4,""320030053371"":4,""261251217004"":4,""060816007004"":4,""060830019065"":4,""220330040064"":4,""020200028231"":4,""160550008001"":4,""080050847002"":4,""481210201061"":4,""360610154002"":4,""260810035003"":4,""291833111321"":4,""130890216051"":4,""410050201003"":4,""350010047523"":4,""320030030052"":4,""170438465092"":4,""320030028241"":4,""170898507021"":4,""484391108081"":4,""081099776002"":4,""450790116061"":4,""060290032063"":4,""320030058561"":4,""060371131021"":4,""120810012043"":4,""320239604062"":4,""490490020002"":4,""060371924202"":4,""060372657002"":4,""060590218153"":4,""360810865002"":4,""490351126052"":4,""320030050132"":4,""160010105041"":4,""490190002004"":4,""010890019031"":4,""180973812014"":4,""490490105041"":4,""060590890012"":4,""450510404001"":4,""290950145021"":4,""190959604004"":4,""550090202031"":4,""171090103003"":4,""490532712001"":4,""490532709011"":4,""220990210002"":4,""290299502005"":4,""484391065144"":4,""340057038044"":4,""340030070022"":4,""370810157041"":4,""060590525262"":4,""170310818001"":4,""080310026011"":4,""051450707002"":4,""080050068551"":4,""490211107012"":4,""490532717021"":4,""490490102192"":4,""530110405102"":4,""490351028012"":4,""100050508032"":4,""060371902022"":4,""040250006061"":4,""171635033041"":4,""450190046142"":4,""490532705001"":4,""211110116014"":4,""391354550022"":4}","{""060133020092"":8,""490532709011"":8,""132950205012"":5,""060590639072"":4,""060730185092"":4,""490111261011"":4,""320030051034"":4,""490111268021"":4,""550790601013"":4,""390610206013"":4,""490351002001"":4,""180159597002"":4,""484910201053"":4,""060376025091"":4,""011150401062"":4,""040190043251"":4,""470930046111"":4,""080350141372"":4,""100050508032"":4,""060371902022"":4,""280819501011"":4,""110010004002"":4,""270530238011"":4,""080050072022"":4,""290950168002"":4,""490251301001"":4,""320030058071"":4,""270530275014"":4,""060376502002"":4,""340030070022"":4,""490532705001"":4,""160010105041"":4,""120710019102"":4,""510131016033"":4,""490490020002"":4,""060371924202"":4,""490190002004"":4,""290950141011"":4,""060730076003"":4,""060375308013"":4,""010890110122"":4,""482015503024"":4,""360610071004"":4,""490532717011"":4,""230050047023"":4,""291839800001"":4,""060816102011"":4,""060530126001"":4,""490190003001"":4,""080310017021"":4,""490532710001"":4,""040270111122"":4,""110010101001"":4,""490532708011"":4,""380170102042"":4,""490351117012"":4,""060750123022"":4,""240479517003"":4,""060374808022"":4,""490532704001"":4,""060375324001"":4,""391650305043"":4,""170898507021"":4,""450790116061"":4,""320030014011"":4,""530110426001"":4,""481872105041"":4,""490050015002"":4,""530330227021"":4,""490351014003"":4,""550090202031"":4,""051450707002"":4,""191550306022"":4,""060590218153"":4,""490351126052"":4,""060510001011"":4,""060372114101"":4,""401091066022"":4,""490532714003"":4,""311530106175"":4,""040131032142"":4,""080310018002"":4,""320030046021"":4,""250010120011"":4,""040050011011"":4,""180632106034"":4,""110010006004"":4,""320030053371"":4,""261251689004"":4,""270530121013"":4,""060650418032"":4,""340373740001"":4,""350559521002"":4,""060374337001"":4}",1213526,1
sg:27195c18e3d241eab42c187267a9280b,Biscayne Park,FL,33161,2018-10-01T00:00:00-04:00,2018-11-01T00:00:00-04:00,460,205,1.21E+11,"{""120860012051"":16,""120860012035"":13,""120860012031"":7,""120860010061"":6,""120860001311"":5,""120860012032"":5,""120860011012"":5,""120090604002"":4,""120111103432"":4,""120860003051"":4,""120110907002"":4,""120860040004"":4,""120860013023"":4,""120860002191"":4,""120111103332"":4,""120110502072"":4,""120110908021"":4,""120860004053"":4,""120110601072"":4,""120860097041"":4,""120860099052"":4,""120860002192"":4,""120860071032"":4,""120860100094"":4,""120860021002"":4,""120860100011"":4,""120860200004"":4,""120110203151"":4,""120860098082"":4,""120860001193"":4,""120860012052"":4,""120860024041"":4,""120860002202"":4,""060610209082"":4,""120860038013"":4,""120860003061"":4,""120860003021"":4,""120860003081"":4,""120860002172"":4,""120860039153"":4,""120860007081"":4,""120990003031"":4,""120860002041"":4,""120860001192"":4,""120860003063"":4}","{""120860012035"":11,""120860012051"":10,""120860003081"":6,""120860012042"":5,""482511302075"":5,""120860038015"":4,""120860002093"":4,""120860078073"":4,""120860004143"":4,""120860010034"":4,""120860012031"":4,""120860004053"":4,""120860002191"":4,""120860003021"":4,""120860002181"":4,""120860100152"":4,""120990003031"":4,""120860012052"":4,""120860014013"":4,""120860011012"":4,""120860002202"":4,""120860004042"":4,""120110204091"":4,""120860031002"":4,""120860100051"":4,""120860004101"":4,""120860013025"":4,""120110601204"":4,""120110801022"":4,""120860002192"":4,""120860060012"":4,""120860001342"":4,""120860010031"":4,""120860010061"":4,""120860012033"":4,""120860020032"":4,""120860011043"":4,""120860012032"":4,""120110204052"":4,""120110907002"":4,""120860012044"":4,""120860003061"":4,""120860038013"":4}",4181,1
sg:b28d662fb742474dba7c2594529c4bdc,Wolf Trap Farm Park National Park,DC,22182,2018-10-01T00:00:00-04:00,2018-11-01T00:00:00-04:00,233,113,5.11E+11,"{""510594601003"":15,""510131020032"":4,""511539012122"":4,""510594522001"":4,""511539012251"":4,""510594802012"":4,""240317008321"":4,""510594708002"":4,""240317006083"":4,""110010015001"":4,""510594825033"":4,""110010095013"":4,""240338052011"":4,""510131030001"":4}","{""510594527001"":4,""510594824001"":4,""200910532011"":4,""510594525022"":4,""510594601003"":4,""510131035021"":4,""240276068051"":4,""240317036011"":4,""510594701002"":4,""511076105051"":4,""240317037024"":4,""240150312013"":4,""510594802012"":4,""510594803001"":4,""511076119001"":4,""516105003002"":4,""240317006083"":4,""510594802021"":4,""510594712021"":4}",15134,1
