placekey,safegraph_place_id,location_name,naics_code,latitude,longitude,region,postal_code
zzy-222@5v8-99f-dy9,sg:58bfb9ed5fb646fdad91d44be690db40,Sand Dunes National Park,712190,43.984847,-124.137765,OR,97439
zzy-222@bp5-62t-tjv,sg:2bb1c1290b6b494e82be0098b30ad724,Hawai'i Volcanoes National Park,712190,19.429665,-155.256958,HI,96718
zzy-222@5s8-2d3-wzf,sg:48f09f62ad5e4aada7cc7ef380b6a18a,Yellowstone Park,712190,44.959408,-90.796964,WI,54771
zzz-222@5vh-rh7-66k,sg:722629f32b574f78abf6b8065bef5314,Sequoia Park,712190,37.788676,-121.22864,CA,95337
222-222@8g9-gyj-nyv,sg:f74aced14847493eb71d543207d86192,Friends of Great Smoky Mountains National Park,712190,35.964355,-83.596999,TN,37764
222-222@8tk-m3b-bff,sg:acbeed2c270445179089c2a6c71d4c3e,Guadalupe Mountains National Park,712190,31.894305,-104.821761,TX,79847
zzy-222@5yy-b73-249,sg:1fe8d44ad47149618c97069051b154ba,Zion National Park,712190,37.209266,-112.980554,UT,84767
zzw-222@63r-7h4-j9z,sg:c11b871760f24551bdd201b7c675fee0,Fort Washington National Park,712190,38.712606,-77.033165,MD,20744
zzz-222@8f2-32t-djv,sg:1ad959f392d94b2b98de6c3cb1daee6c,Hot Springs National Park,712190,34.514493,-93.098315,AR,71901
zzz-222@8g7-4rj-ckf,sg:917b5d0970004160a137f9d8172d50cf,Old National Park,712190,33.599336,-84.46666,GA,30349
zzz-222@8fw-25r-6ff,sg:27195c18e3d241eab42c187267a9280b,Biscayne Park,712190,25.880959,-80.179572,FL,33161
zzz-222@63r-6m6-wrk,sg:b28d662fb742474dba7c2594529c4bdc,Wolf Trap Farm Park National Park,712190,38.938278,-77.264876,VA,22182
zzw-222@5qp-xjk-bhq,sg:75deacb1155b4dcbba46853c37fd478f,Grand Teton National Park,712190,43.736796,-110.63942,WY,83012
226-222@5ww-t9v-tjv,sg:35af1521d33040d2a63d80e2abed2b48,Experience Olympic,712190,48.118895,-123.439636,WA,98362
zzy-226@5q6-685-575,sg:ae3763d376d94a5ea5fd186b45bc0ff9,Rocky Mountain National Park,712190,40.377384,-105.521732,CO,80517
